Name,Wifi,Wifi/Password,Download Speed,Upload Speed,CDMX Wifi,Coffee,Plugs,Seating,Outdoor,Food,Other People Working,Calls,Calls Rating,Overall,Notes,Address,Area,Map Link,Image Link
ROMA NORTE,,,,,,,,,,,,,,,,,,,
Almanegra Café,3,A*NGR/Pide 1 Gibraltar.,170,15,Workable connection sitting outside,3,Yes,Small,2 Seats outside ,Sometimes bakery items,Yes mostly,"Possible, not normally too loud and could sit outside",3,5,Often quite busy so might be hard to get a seat somedays,"Tonalá 53, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://g.page/almanegraroma?share,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fi0.wp.com%2Fookiedough.org%2Fwp-content%2Fuploads%2F2019%2F07%2FAlmanegra-Caf%25C3%25A9-Mexico-City-1.jpg%3Ffit%3D2000%252C1333%26ssl%3D1&f=1&nofb=1&ipt=2247313888f2ed2430e46b6f5e42945135e5cf98e42dc486d7f944b13f6d1059&ipo=images
Paradigma café,1,N/A,0,0,Workable connection,3,No,Small,4 Seats and tables outside,Cookies,No,No,0,2,Very good Matcha,"San Luis Potosí 188, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/M1Nn3EuLr1C9aznb9,
Baveno,3,Baveno/Cafeypan,80,80,No,2,Yes,Large,No,Brunch menu and other bakery items,Yes mostly,"Yes, can sit away from other people generally quiet",3,4,,"Monterrey 194, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://g.page/BavenoCafeyPan?share,
Qūentin Café Roma,3,Qūentin | Guest/carajillo,25,11,Usuable,3,No,Medium outdoor only,Yes,Large selection of bakery items,50/50,Mostly just have to deal with the street noise,2,4,,"Av. Yucatan 93, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/wwgTHMQRCAAbx4ou7,
María Fortunata Brunch & Breakfast,3,MARIAFORTUNATAROMA_5Grapida/Disfrutaelpastel14,260,50,Usuable outside,3,Yes,Large,Yes,Full Menu and Bakery items,Sometimes,"Possible, but inside is small and outside has alot of street noise",1,4,"Normally very busy on Fridays and on weekends, Very good cakes and tartes","C. Querétaro 165, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/p8geaMJmXiK1Nvab8,
Forte,2,,,,No,3,Yes,Large,Yes,Breakfast menu,50/50,Loud,1,3,Busy ,"C. Querétaro 116, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/87MKfUpeWf2mN6Xv5,
MARCEL PANADERÍA,2,,0,0,Usuable outside,3,No,Medium,Yes mostly outdoor,Bakery items,Not really,No,0,2,Nice sitting spot outside if the CDMX wifi is working,"Jalapa 130, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://g.page/marcelcdmx?share,
Bou,3,,190,87,Low,3,No,Large,Lots of outdoor seatings,Full Menu and Bakery items,Yes,Lots of people talking and street noise ,1,4,"Always busy, not many seats inside so if its cold probably not the best","Tonalá 110, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/owU8zjezK6wpPZo9A,
Alegre Café,3,Alegre_Cafe5G/clientealegre,100,56,No,2,No,Medium,No,Full Menu,Yes,"Yes, quiet, but some amount of background music",2,5,"Mostly quiet, often other people are working if theres anyone","Av. de los Insurgentes Sur 277, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/XLUmqLK1GHp6mi4p9,
Constela Café,,,,,,,,,,,,,,,,"Colima 209, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/SAhbTNyCck2iQyU97,
Junkie Cafe,,,,,,,,,,,,,,,,"C. Morelia 73-local, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,https://goo.gl/maps/FFzUcVrQS8g1ZwUUA,
Curado,,,,,,,,,,,,,,,,,Roma Norte,,
Buna,,,,,,,,,,,,,,,,,Roma Norte,,
Casa Bruna,,,,,,,,,,,,,,,,,Roma Norte,,
CONDESA,,,,,,,,,,,,,,,,,,,
Café B,2,CAFEB/buencafe,38,18,Usuable outside,3,Yes,Medium,"3 outside tables, sort on the road though",Breakfast menu,Yes,"Yes if sitting outside quiet street, inside will be difficult as usually lots of noise",2,4,"No the greatest outdoor seating, small inside and normally people talking","Pl. Popocatépetl 30, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX",Condesa,https://g.page/CafeBCondesa?share,
Bakers,3,BAKERS_1/croissant342,42,39,Usuable outside,3,Yes,Large,Lots of outdoor seats,Full menu,Yes,"Yes, can get quite busy so some days might be pretty noisy",1,5,"Amazing matcha and lemon tart, can be really busy especially later in the day","Calle de Durango 342, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Condesa,https://goo.gl/maps/1qoFmK6W8mF4r1H89,
Blend station Amsterdam,3,Blendstation/Blendstation,,,Good,3,No,Large,Bunch of outdoor spots,Full menu,Yes,"Yes, easiest in the mornings as is quiet, but lots of space to find somewhere to sit thats quiet",2,4,Big coffees,"Amsterdam, Av Sonora 282 Esquina, Hipódromo, Cuauhtémoc, 06100 CDMX",Condesa,https://g.page/blend-station-cdmx?share,
Raku,,,,,,,,,,,,,,,,,Condesa,,
Chiquitito Café Condesa,,,,,,,,,,,,,,,,,Condesa,,
Qūentin Café Amsterdam,,,,,,,,,,,,,,,,,Condesa,,
Cucurucho Condesa,2,Invitado Cucurucho/Tomacafe,13,13,No,3,Yes,Large,Alot of outdoor seats,Full menu,Yes,"Possible, has loudish music on inside and outside could be a decent amount of street noise",1,3,"Really nice spot, could be very hot as they don't have much shade outside","Cda. Pachuca 87, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX",Condesa,https://goo.gl/maps/YwnmtrdgsC1fhuwP9,
BREWKLYN COFFEE HOUSE,,,,,,,,,,,,,,,,,Condesa,,
Oveja Negra Café,,,,,,,,,,,,,,,,,Condesa,,
Café Tilia | Cafetería de Especialidad,,,,,,,,,,,,,,,,,Condesa,,
Café Toscano Condesa,,,,,,,,,,,,,,,,,Condesa,,
Amïn,,,,,,,,,,,,,,,,,Condesa,,
Cafe Berlin,,,,,,,,,,,,,,,,,Condesa,,
Volador Café,,,,,,,,,,,,,,,,,Condesa,,
Casa Café,3,Casa Cafe - High Speed/Casacafe2021,45,18,Low,2,Yes,Small,Yes 3-4 tables outside,Bakery items,Sometimes,Yes can sit outside is a quiet street,3,5,,"Fernando Montes de Oca 64, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX",Condesa,https://goo.gl/maps/huqppsCv26jDWFMb8,
eNHORAbUENa CAFÉ,,,,,,,,,,,,,,,,,Condesa,,
,,,,,,,,,,,,,,,,,,,
Del Valle,,,,,,,,,,,,,,,,,,,
Mimo Café Bueno,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Juarez,,,,,,,,,,,,,,,,,,,
Cicatriz Cafe,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Polanco,,,,,,,,,,,,,,,,,,,
La Otilia (Polanco),,,,,,,,,,,,,,,,,,,
